,,1,,,,,,,2,,,,,,,3,,,,,,,4,,,,,,,5,,,,,,,6,,,,,,,7,,,,,,,8,,,,,,,9,,,,,,,10,,,,,,,11,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,Su,M,Tu,W,Th,F,Sa,,,,,,,,,,,,,,,,,,,,,
,STE I, , , , , , , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , ,D,D, , ,D,D,D, , , , ,N,N,N, , , ,N,N, , ,N,N,N, , , ,N,N, , ,N,N, , , ,N,N, , ,N,N,,,,,,,,,,,,,,,,,,,,,
,STE I, ,N,N, , ,N,N, , , , , , , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , ,D,D, , ,D,D,D, , , , ,N,N,N, , , ,N,N, , ,N,N,N, , , ,N,N, , ,N,N, , ,,,,,,,,,,,,,,,,,,,,,
,STE I,N, , ,N,N, , , ,N,N, , ,N,N, , , , , , , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , ,D,D, , ,D,D,D, , , , ,N,N,N, , , ,N,N, , ,N,N,N, , , ,N,,,,,,,,,,,,,,,,,,,,,
,STE I,N,N,N, , , ,N,N, , ,N,N, , , ,N,N, , ,N,N, , , , , , , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , ,D,D, , ,D,D,D, , , , ,N,N,N, , , ,N,N, , ,,,,,,,,,,,,,,,,,,,,,
,STE I, , , ,N,N, , ,N,N,N, , , ,N,N, , ,N,N, , , ,N,N, , ,N,N, , , , , , , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , ,D,D, , ,D,D,D, , , , ,N,N,N,,,,,,,,,,,,,,,,,,,,,
,STE I, , , , ,N,N,N, , , ,N,N, , ,N,N,N, , , ,N,N, , ,N,N, , , ,N,N, , ,N,N, , , , , , , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , ,D,D, , ,D,D,D,,,,,,,,,,,,,,,,,,,,,
,STE I,D,D, , ,D,D,D, , , , ,N,N,N, , , ,N,N, , ,N,N,N, , , ,N,N, , ,N,N, , , ,N,N, , ,N,N, , , , , , , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , ,,,,,,,,,,,,,,,,,,,,,
,STE I, , ,D,D,D, , ,D,D, , ,D,D,D, , , , ,N,N,N, , , ,N,N, , ,N,N,N, , , ,N,N, , ,N,N, , , ,N,N, , ,N,N, , , , , , , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D,,,,,,,,,,,,,,,,,,,,,
,STE I,D,D, , , ,D,D, , ,D,D,D, , ,D,D, , ,D,D,D, , , , ,N,N,N, , , ,N,N, , ,N,N,N, , , ,N,N, , ,N,N, , , ,N,N, , ,N,N, , , , , , , ,D,D,D, , , ,D,D, , ,D,D,D, , , ,D,D, , ,D,,,,,,,,,,,,,,,,,,,,,
